,text,served_dish,spatial_relation,city,timeRange,country,restaurant_type,restaurant_name,sort,cuisine,party_size_description,facility,poi,state,party_size_number
798,Book a table for three people at John Pearson Soda Works in Mauritius .,,,,,Mauritius,,John Pearson Soda Works,,,,,,,three
799,I need a table in neighboring  Carencro at the Bridge Round House,,neighboring,Carencro,,,,Bridge Round House,,,,,,,
800,I need seats for 10 at a highly rated  restaurant,,,,,,restaurant,,highly rated,,,,,,10
801,book a spot for 9  in thirty three days at Ringlestone Inn  close to Grenada,,close,,in thirty three days,Grenada,,Ringlestone Inn,,,,,,,9
802,I'd like a table for 10 at a distant place downtown for next fall,,distant,,next fall,,,,,,,,downtown,,10
803,Book a restaurant for eight people in six years .,,,,in six years,,restaurant,,,,,,,,eight
804,I would like a table at a taverna with croquembouche for 1 minute from now,croquembouche,,,1 minute from now,,taverna,,,,,,,,
805,Reserve a table for 8 in neighboring  Hitchland .,,neighboring,Hitchland,,,,,,,,,,,8
806,I want to book a highly rated  fast food restaurant  now .,,,,now,,fast food restaurant,,highly rated,,,,,,
807,Find a table somewhere for me and my step mother in Graniteville  DE,,,Graniteville,,,,,,,me and my step mother,,,DE,
808,Please reserve a spot at Ballachulish House .,,,,,,,Ballachulish House,,,,,,,
809,I would like an outdoor  cafeteria for 3,,,,,,cafeteria,,,,,outdoor,,,3
810,book a table for ten people at a restaurant that serves noodle,noodle,,,,,restaurant,,,,,,,,ten
811,Book a table for a party of 7  next year in ID .,,,,next year,,,,,,,,,ID,7
812,"Book me a reservation at a burger  joint  close-by  Choate on july 16th, 2022",burger,close-by,Choate,"july 16th, 2022",,joint,,,,,,,,
813,table for two on Nov. fifteenth,,,,Nov. fifteenth,,,,,,,,,,two
814,book a spot at a restaurant  faraway from 138th St,,faraway,,,,restaurant,,,,,,138th St,,
815,Reserve a table for 1 person in WI .,,,,,,,,,,,,,WI,1
816,I would like to book a restaurant for 9 on Dec. 13,,,,Dec. 13,,restaurant,,,,,,,,9
817,Book a bar for 6 that has stuffed ham and isn't too faraway from Canarsie - Rockaway Parkway on bennington battle day .,stuffed ham,faraway,,bennington battle day,,bar,,,,,,Canarsie - Rockaway Parkway,,6
818,book a spot for ten in Upper Marlboro  PR,,,Upper Marlboro,,,,,,,,,,PR,ten
819,"I would like to book a table at a delicatessen in punjabi for me, angela and vilma",,,,,,delicatessen,,,punjabi,"me, angela and vilma",,,,
820,"Get me a table for sonya, rebekah and I at a restaurant in Latvia .",,,,,Latvia,restaurant,,,,"sonya, rebekah and I",,,,
821,book a table for 3  far from Tullytown at a coffeehouse with a smoking room,,far,,,,coffeehouse,,,,,smoking room,Tullytown,,3
822,"Book a reservation for a restaurant in Stonewood , GU",,,Stonewood,,,restaurant,,,,,,,GU,
823,I'd like to eat around  ID on august the 16th with a party of 8,,around,,august the 16th,,,,,,,,,ID,8
824,Reserve in Bermuda a food court  near  jan and I,,near,,,Bermuda,food court,,,,jan and I,,,,
825,book a spot for 6 in Pilot Mound  Palau on feb. the twenty-fourth,,,Pilot Mound,feb. the twenty-fourth,,,,,,,,,Palau,6
826,at thirteen o'clock book a table for margie and I in Vanuatu,,,,thirteen o'clock,Vanuatu,,,,,margie and I,,,,
827,"book Tun Tavern for shawna davis, michelle and lizzie in Vermont",,,,,,,Tun Tavern,,,"shawna davis, michelle and lizzie",,,Vermont,
828,"I want to book a restaurantin Perrytown  Missouri for candice, jeannie and nichole .",,,Perrytown,,,,,,,"candice, jeannie and nichole",,,Missouri,
829,book a bar table for Tonight for rajasthani food,,,,Tonight,,bar,,,rajasthani,,,,,
830,book a eggo serving brasserie for ten,eggo,,,,,brasserie,,,,,,,,ten
831,Can you make reservations for a party of eight in Iowa,,,,,,,,,,,,,Iowa,eight
832,"I'm looking to get reservations for me, jillian and louella at a restaurant that is faraway from TX .",,faraway,,,,restaurant,,,,"me, jillian and louella",,,TX,
833,"I'd like a table in a smoking room in a taverna on sep. 23, 2023",,,,"sep. 23, 2023",,taverna,,,,,smoking room,,,
834,Book me a restaurant reservation in Fiji for zero am,,,,zero am,Fiji,restaurant,,,,,,,,
835,Book a spot at a taverna for my cousin and I in Burundi,,,,,Burundi,taverna,,,,my cousin and I,,,,
836,Can  book a pizzeria that will serve a cupcake ?,cupcake,,,,,pizzeria,,,,,,,,
837,book a table for 2 at a highly rated  restaurant  within walking distance of taverna  OK,,within walking distance,,,,taverna,,highly rated,,,,,OK,2
838,I would like a restaurant reservation for this year for 4 people.,,,,this year,,restaurant,,,,,,,,4
839,I would like to book a food truck for my friend and I ,,,,,,food truck,,,,my friend and I,,,,
840,Book reservations for five at Eleven Madison Park  today  within walking distance from Flaxton,,within walking distance,Flaxton,today,,,Eleven Madison Park,,,,,,,five
841,I need a reservation for three people at a spa  restaurant  in two hundred thirty seven days,,,,in two hundred thirty seven days,,restaurant,,,,,spa,,,three
842,book a spot for ten at a pub that has umbrian in NV on feb. the fourth,,,,feb. the fourth,,pub,,,umbrian,,,,NV,ten
843,Book a table for mamie and maria at a south tyrolean  restaurant  within walking distance from Fisk Av-69th St .,,within walking distance,,,,restaurant,,,south tyrolean,mamie and maria,,Fisk Av-69th St,,
844,book for lobster newberg  this week in Malaysia at a restaurant for four,lobster newberg,,,this week,Malaysia,restaurant,,,,,,,,four
845,Book a reservation for seven people at a steakhouse in Kenya,,,,,Kenya,steakhouse,,,,,,,,seven
846,I want to eat at a pickled cucumber  brasserie  in 12 months,pickled cucumber,,,in 12 months,,brasserie,,,,,,,,
847,Book a restasurant in Pohick  Delaware .,,,Pohick,,,,,,,,,,Delaware,
848,"book a table at a restaurant  within the same area as The Octagon, Christchurch in Allentown",,within the same area,,,,restaurant,"The Octagon, Christchurch",,,,,Allentown,,
849,"Book Childs Restaurants in Bruno for 1 person on October 6th, 2019 .",,,Bruno,"October 6th, 2019",,,Childs Restaurants,,,,,,,1
850,book a spot for six at Bear Hotel  in 5 seconds ,,,,in 5 seconds,,,Bear Hotel,,,,,,,six
851,Book a restaurant that serves agnolotti in Colorado City  Idaho .,agnolotti,,Colorado City,,,restaurant,,,,,,,Idaho,
852,book a spot in town  in the same area as me,,in the same area,,,,,,,,,,in town,,
853,Find a reservation for a highly rated  steakhouse in China for a party of five at 05:51:52,,,,05:51:52,China,steakhouse,,highly rated,,,,,,five
854,Find a reservation for eight at Rhodes Twenty Four in GU,,,,,,,Rhodes Twenty Four,,,,,,GU,eight
855,"book a restaurant in Clawson , MS for one",,,Clawson,,,restaurant,,,,,,,MS,one
856,"book a restaurant in North Dakota for my child and I on november seventh, 2037",,,,"november seventh, 2037",,restaurant,,,,my child and I,,,North Dakota,
857,I'd like to get reservations for four at a restaurant that serves apple sauce .,apple sauce,,,,,restaurant,,,,,,,,four
858,I need a reservation for Maid-Rite Sandwich Shop in Home Gardens,,,Home Gardens,,,,Maid-Rite Sandwich Shop,,,,,,,
859,me and my mummy want to go to an indian  bar  next winter  within the same area of Cortelyou Rd,,within the same area,,next winter,,bar,,,indian,me and my mummy,,Cortelyou Rd,,
860,Book a reservation for three at Clinton Street Baking Company & Restaurant,,,,,,,Clinton Street Baking Company & Restaurant,,,,,,,three
861,Please book a table for 10 at a faraway  top-rated  brasserie in Malaysia on Oct. the thirteenth .,,faraway,,Oct. the thirteenth,Malaysia,brasserie,,top-rated,,,,,,10
862,I'd like to eat with a party of nine in Snapfinger  PA,,,Snapfinger,,,,,,,,,,PA,nine
863,Book a table for eight people at a bar that has steak sauce in Half Moon  AMerican Samoa right now,steak sauce,,Half Moon,now,,bar,,,,,,,AMerican Samoa,eight
864,Book a restaurant on san jacinto day in Anderson for me and my colleagues .,,,Anderson,san jacinto day,,restaurant,,,,me and my colleagues,,,,
865,book a table for vermicelli at a restaurant,vermicelli,,,,,restaurant,,,,,,,,
866,Book a restaurant in Palau for two people.,,,,,,restaurant,,,,,,,Palau,two
867,I'd like to eat at a tea house with 3 people,,,,,,tea house,,,,,,,,3
868,"Book a table for josie, carissa and lindsay at a brasserie which serves trentino .",,,,,,brasserie,,,trentino,"josie, carissa and lindsay",,,,
869,book a highly rated  restaurant in Central African Republic for 5 people on sep. the second,,,,sep. the second,Central African Republic,restaurant,,highly rated,,,,,,5
870,I want to book a restaurant  far from the Municipal Borough of Mitcham for 10 people.,,far,,,,restaurant,,,,,,Municipal Borough of Mitcham,,10
871,I need a table for 4 at a place not far from Palau .,,not far,,,,,,,,,,,Palau,4
872,I want to book a Minnesota  bar,,,,,,bar,,,,,,,Minnesota,
873,I want to book a far  brasserie that serves minestrone in PA for a party of 9 in 15 minutes,minestrone,far,,15 minutes,,brasserie,,,,,,,PA,9
874,Book a restaurant .,,,,,,restaurant,,,,,,,,
875,Can you get me reservations for a highly rated  restaurant in Seychelles,,,,,Seychelles,restaurant,,highly rated,,,,,,
876,book sot for 22 minutes from now at a restaurant with parking,,,,22 minutes from now,,restaurant,,,,,parking,,,
877,"book a spot for me, reyna and maxine at a taverna on monday",,,,monday,,taverna,,,,"me, reyna and maxine",,,,
878,book in RI for one in Wabuska,,,Wabuska,,,,,,,,,,RI,one
879,book a spot for one,,,,,,,,,,,,,,one
880,Book a reservation for a southern brazilian  restaurant for 10 people within walking distance of Broadway-Lafayette St,,within walking distance,,,,restaurant,,,southern brazilian,,,Broadway-Lafayette St,,10
881,Book a reservation for 4 people at a restaurant  within the same area as my step daughter's position,,within the same area,,,,restaurant,,,,,,my step daughter's position,,4
882,Find a reservation for a restaurant in Hong Kong for seven people,,,,,Hong Kong,restaurant,,,,,,,,seven
883,book in Rocky Mound for four  1 hour from now,,,Rocky Mound,1 hour from now,,,,,,,,,,four
884,Find a table at a restaurant that serves corn relish in Venezuela,corn relish,,,,Venezuela,restaurant,,,,,,,,
885,I want to book a restaurant in Glenarden  South Dakota for two people.,,,Glenarden,,,restaurant,,,,,,,South Dakota,two
886,I want to book a restaurant for a year from now in Maine .,,,,a year from now,,restaurant,,,,,,,Maine,
887,Book a brasserie place for seven in Lithuania,,,,,Lithuania,brasserie,,,,,,,,seven
888,book a table at Top Pot Doughnuts  in 16 hours for 5,,,,in 16 hours,,,Top Pot Doughnuts,,,,,,,5
889,"nancy, elma ruiz and molly want to eat at a restaurant in Gibraltar",,,,,Gibraltar,restaurant,,,,"nancy, elma ruiz and molly",,,,
890,Can you get me a table at a tavern in Slovakia,,,,,Slovakia,tavern,,,,,,,,
891,"my niece and I want to visit a food court in Callicoon , Tennessee",,,Callicoon,,,food court,,,,my niece and I,,,Tennessee,
892,Book a highly rated  restaurant .,,,,,,restaurant,,highly rated,,,,,,
893,I'm looking to book a seat at a bakery that serves coleslaw at 19:44:58 .,coleslaw,,,19:44:58,,bakery,,,,,,,,
894,Book a restaurant  this year for party of 2 ,,,,this year,,restaurant,,,,,,,,2
895,I need a reservation for 6 PM. with a party of 10 at Sand Lake,,,Sand Lake,6 PM.,,,,,,,,,,10
896,I want to book Coney I-Lander for 10 people.,,,,,,,Coney I-Lander,,,,,,,10
897,I need a reservation for my teens and I  six months from now in Tennessee,,,,six months from now,,,,,,my teens and I,,,Tennessee,
898,book a table for seven people at six at the restaurant,,,,six,,restaurant,,,,,,,,seven
899,Lets go and take elsa and I to Westhampton Beach  in 1 hour to the american chinese cuisine at the tea house,american chinese cuisine,,Westhampton Beach,in 1 hour,,tea house,,,,elsa and I,,,,
900,"book a table at an oyster bar that serves apple butter on Jul. 10th, 2028",apple butter,,,"Jul. 10th, 2028",,oyster bar,,,,,,,,
901,book a table for me and belinda serving minestra in a bar,minestra,,,,,bar,,,,me and belinda,,,,
902,I need fast food for nine  within the same area as Bowers that has a pool  nearby on 4/17/2033,,nearby,Bowers,4/17/2033,,fast food,,,,,pool,,,nine
903,Book a table for 2 people at a restaurant with parking,,,,,,restaurant,,,,,parking,,,2
904,Make me a reservation in TN somewhere nearby for a party of 4,,nearby,,,,,,,,,,,TN,4
905,"I'm looking to book a table at a place in Newton Falls , prefereably within the same area that has space for 6",,within the same area,Newton Falls,,,,,,,,,,,6
906,I want to book a restaurant  not far from our college .,,not far,,,,restaurant,,,,,,our college,,
907,Book a tavern in Colorado for two,,,,,,tavern,,,,,,,Colorado,two
908,Book a table for ten people in Eucalyptus Hills .,,,Eucalyptus Hills,,,,,,,,,,,ten
909,Book a reservation for 2 at Fashion Cafe in Diwali,,,,Diwali,,,Fashion Cafe,,,,,,,2
910,book a table for six in Beech Creek,,,Beech Creek,,,,,,,,,,,six
911,"I need to reserve two seats to eat at in Salina , Alabama .",,,Salina,,,,,,,,,,Alabama,two
912,book a table for a party of 7,,,,,,,,,,,,,,7
913,"Book a reservation for The Training Table on Mar. thirteenth, 2026",,,,"Mar. thirteenth, 2026",,,The Training Table,,,,,,,
914,Reserve a table for one at a top-rated  restaurant  nearby that serves goiano for this month in MD,,nearby,,this month,,restaurant,,top-rated,goiano,,,,MD,one
915,"On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall",,,Putnam Hall,"Jun. the sixteenth, 2032",,,Dillard House,,,,,,,
916,Book a reservation for a restaurant serving burger in Malaysia,burger,,,,Malaysia,restaurant,,,,,,,,
917,I need a table at a cafeteria for a party of 6 in AL,,,,,,cafeteria,,,,,,,AL,6
918,Book a restaurant reservation for my gf and I  within walking distance of sondra's university,,within walking distance,,,,restaurant,,,,my gf and I,,sondra's university,,
919,I need a reservation for Chapter One in West Odessa for a party of one,,,West Odessa,,,,Chapter One,,,,,,,one
920,I want to make a reservation at a sushi  restaurant,sushi,,,,,restaurant,,,,,,,,
921,Anything  close to Smith-9th St that can seat two people about one minute from now ?,,close,,one minute from now,,,Anything,,,,,Smith-9th St,,two
922,I need a table for five at Childs Restaurants in Brunei .,,,,,Brunei,,Childs Restaurants,,,,,,,five
923,rebekah taylor and marcie need reservations at The Clink in Senegal .,,,,,Senegal,,The Clink,,,rebekah taylor and marcie,,,,
924,I'm looking to book a reservation in Aruba at a place nearby .,,nearby,,,Aruba,,,,,,,,,
925,Lets go to a bistro in SD,,,,,,bistro,,,,,,,SD,
926,book a table in Connecticut in Robinette for one second from now,,,Robinette,one second from now,,,,,,,,,Connecticut,
927,I need a table for 7 people at a bar that specialises in being a protein bar .,protein bar,,,,,bar,,,,,,,,7
928,"Book a table for 9 people at a delicatessen for April the twenty-eighth, 2018 .",,,,"April the twenty-eighth, 2018",,delicatessen,,,,,,,,9
929,I need to book a restaurant in Sunnybrook for 7,,,Sunnybrook,,,restaurant,,,,,,,,7
930,"I need a reservation for a party of three , maybe a gastropub that sells steak .",steak,,,,,gastropub,,,,,,,,three
931,I need to book a reservation in Searsport at eleven am,,,Searsport,eleven am,,,,,,,,,,
932,I need to find a restaurant in PW .,,,,,,restaurant,,,,,,,PW,
933,Book me an indoor  pub in Jersey,,,,,Jersey,pub,,,,,indoor,,,
934,I'd like to eat at an oyster bar with a pool,,,,,,oyster bar,,,,,pool,,,
935,Make me a reservation at a popular place that serves udupi at a restaurant,,,,,,restaurant,,popular,udupi,,,,,
936,book a spot at a highly rated  tea house in manadonese,,,,,,tea house,,highly rated,manadonese,,,,,
937,book a spot for 4 at a restaurant in Shambaugh  MD,,,Shambaugh,,,restaurant,,,,,,,MD,4
938,me and robin need reservations for somewhere in Palau,,,,,,,,,,me and robin,,,Palau,
939,I want to book an osteria for 9 in Gabon that serves donuts,donuts,,,,Gabon,osteria,,,,,,,,9
940,I have four people needing a restaurant reservation.,,,,,,restaurant,,,,,,,,four
941,I need a bakery that serves beef manhattan at midnight for nine,beef manhattan,,,midnight,,bakery,,,,,,,,nine
942,Book a restaurant for four on october 9 in Maine,,,,october 9,,restaurant,,,,,,,Maine,four
943,I want to bring six of us to a bistro  in town that serves hot chicken sandwich that is within the same area .,hot chicken sandwich,within the same area,,,,bistro,,,,,,in town,,six
944,Please call and reserve seating for march 6 at a diner in Kyrgyzstan,,,,march 6,Kyrgyzstan,diner,,,,,,,,
